2025-06-22T21:27:44.070+0800	INFO	builder/builder.go:38	初始化游戏配置
2025-06-22T21:27:44.080+0800	INFO	builder/builder.go:44	初始化redis配置
2025-06-22T21:27:44.088+0800	INFO	builder/builder.go:50	启动框架服务: name:"Builder"  addr:"localhost:10501"  type:NodeTypeBuilder  id:1
2025-06-22T21:27:44.090+0800	INFO	discovery/etcd.go:62	添加服务节点: name:"Gate"  addr:"localhost:10101"  type:NodeTypeGate  id:1
2025-06-22T21:27:44.090+0800	INFO	discovery/etcd.go:62	添加服务节点: name:"Db"  addr:"localhost:10401"  type:NodeTypeDb  id:1
2025-06-22T21:27:44.093+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Builder"  addr:"localhost:10501"  type:NodeTypeBuilder  id:1
2025-06-22T21:27:47.132+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Match"  addr:"localhost:10301"  type:NodeTypeMatch  id:1
2025-06-22T21:27:49.095+0800	DEBUG	actor/funcs.go:223	Actor(.LoadRequest) args:[]
2025-06-22T21:27:49.096+0800	DEBUG	actor/funcs.go:223	Actor(.LoadRequest) args:[]
2025-06-22T21:27:49.101+0800	DEBUG	bus/nats.go:90	收到Nats单播数据包 bodySize:114, pack:head:{send_type:POINT  src:{node_type:NodeTypeDb  node_id:1  actor_name:"DbGeneratorMgr"  func_name:"Query"  actor_id:1  router_type:RouterTypeDataType  router:{db:1  builder:1}}  dst:{node_type:NodeTypeBuilder  node_id:1  actor_name:"BuilderRummyGenerator"  func_name:"LoadData"  actor_id:2  router_type:RouterTypeGeneratorType  router:{db:1  builder:1}}  reference:3}  body:"\x12\x04\x08\x02\x10\x01\x12\x04\x08\x03\x10\x01\x12\x04\x08\x01\x10\x01"
2025-06-22T21:27:49.101+0800	DEBUG	bus/nats.go:90	收到Nats单播数据包 bodySize:114, pack:head:{send_type:POINT  src:{node_type:NodeTypeDb  node_id:1  actor_name:"DbGeneratorMgr"  func_name:"Query"  actor_id:1  router_type:RouterTypeDataType  router:{db:1  builder:1}}  dst:{node_type:NodeTypeBuilder  node_id:1  actor_name:"BuilderTexasGenerator"  func_name:"LoadData"  actor_id:1  router_type:RouterTypeGeneratorType  router:{db:1  builder:1}}  reference:3}  body:"\x12\x04\x08\x02\x10\x01\x12\x04\x08\x03\x10\x01\x12\x04\x08\x01\x10\x01"
2025-06-22T21:27:49.101+0800	DEBUG	actor/funcs.go:223	[NodeTypeDb.DbGeneratorMgr.Query(1) -> NodeTypeBuilder.BuilderRummyGenerator.LoadData(1)] args:[18 4 8 2 16 1 18 4 8 3 16 1 18 4 8 1 16 1]
2025-06-22T21:27:49.101+0800	DEBUG	actor/funcs.go:223	[NodeTypeDb.DbGeneratorMgr.Query(1) -> NodeTypeBuilder.BuilderTexasGenerator.LoadData(1)] args:[18 4 8 2 16 1 18 4 8 3 16 1 18 4 8 1 16 1]
2025-06-22T21:27:50.235+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Room"  addr:"localhost:10201"  type:NodeTypeRoom  id:1
2025-06-22T21:27:53.256+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Game"  addr:"localhost:10601"  type:NodeTypeGame  id:1
2025-06-22T21:27:56.272+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Gm"  addr:"localhost:10701"  type:NodeTypeGm  id:1
2025-06-22T21:28:10.843+0800	DEBUG	bus/nats.go:117	收到Nats广播数据包 bodySize:87, pack:head:{send_type:POINT  src:{node_type:NodeTypeMatch  node_id:1  actor_id:65537  router_type:RouterTypeGameType  router:{gate:1  match:1  game:1}}  dst:{node_type:NodeTypeBuilder  node_id:1  actor_name:"BuilderTexasGenerator"  func_name:"GenRoomIdReq"  actor_id:1  router_type:RouterTypeGeneratorType  router:{match:1  builder:1}}}  body:"\x08\x01\x18\x01 \x01(\x03"
2025-06-22T21:28:10.844+0800	DEBUG	actor/funcs.go:243	[NodeTypeMatch..(1) -> NodeTypeBuilder.BuilderTexasGenerator.GenRoomIdReq(1)] rsp:room_id_list:4311744514  room_id_list:4311744515  room_id_list:4311744516, reterr:<nil>
2025-06-22T21:28:14.133+0800	DEBUG	actor/funcs.go:223	Actor(.Save) args:[]
