2025-06-22T21:27:47.096+0800	INFO	match/match.go:38	初始化游戏配置
2025-06-22T21:27:47.108+0800	INFO	match/match.go:44	初始化redis配置
2025-06-22T21:27:47.125+0800	INFO	match/match.go:50	启动框架服务: name:"Match"  addr:"localhost:10301"  type:NodeTypeMatch  id:1
2025-06-22T21:27:47.128+0800	INFO	discovery/etcd.go:62	添加服务节点: name:"Gate"  addr:"localhost:10101"  type:NodeTypeGate  id:1
2025-06-22T21:27:47.129+0800	INFO	discovery/etcd.go:62	添加服务节点: name:"Db"  addr:"localhost:10401"  type:NodeTypeDb  id:1
2025-06-22T21:27:47.129+0800	INFO	discovery/etcd.go:62	添加服务节点: name:"Builder"  addr:"localhost:10501"  type:NodeTypeBuilder  id:1
2025-06-22T21:27:47.132+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Match"  addr:"localhost:10301"  type:NodeTypeMatch  id:1
2025-06-22T21:27:47.137+0800	DEBUG	bus/nats.go:90	收到Nats单播数据包 bodySize:94, pack:head:{send_type:POINT  src:{node_type:NodeTypeDb  node_id:1  actor_name:"DbTexasRoomMgr"  func_name:"Query"  actor_id:2  router_type:RouterTypeDataType  router:{match:1  db:1}}  dst:{node_type:NodeTypeMatch  node_id:1  actor_name:"MatchTexasRoomMgr"  func_name:"LoadComplete"  actor_id:2  router_type:RouterTypeGameType  router:{match:1  db:1}}  reference:3}
2025-06-22T21:27:47.137+0800	DEBUG	actor/funcs.go:223	[NodeTypeDb.DbTexasRoomMgr.Query(1) -> NodeTypeMatch.MatchTexasRoomMgr.LoadComplete(1)] args:[]
2025-06-22T21:27:50.235+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Room"  addr:"localhost:10201"  type:NodeTypeRoom  id:1
2025-06-22T21:27:53.256+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Game"  addr:"localhost:10601"  type:NodeTypeGame  id:1
2025-06-22T21:27:56.272+0800	INFO	discovery/etcd.go:99	添加服务节点: name:"Gm"  addr:"localhost:10701"  type:NodeTypeGm  id:1
